Account,total_pnl,avg_daily_pnl,overall_win_rate,avg_size_usd,total_trades,active_days,pnl_std,total_fee,trades_per_day,sharpe_proxy,net_pnl,size_segment,freq_segment,perf_segment,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,-327505.900056,-40938.237507,0.05555555555555555,22949.035236630858,462,8,71093.98399185819,1112.89565,57.75,-0.5758326543028978,-328618.795706,Large Size,Frequent,Consistent Losers,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,20607.446093000002,2289.716232555556,0.4060179383179134,2205.2878131843363,320,9,3757.100598055331,202.16715108,35.55555555555556,0.6094370307092921,20405.27894192,Small Size,Frequent,Neutral,1
0x271b280974205ca63b716753467d5a371de622ab,1792.1602149999999,597.3867383333333,0.5833333333333334,15728.512500000003,10,3,861.1431215286533,44.859983,3.3333333333333335,0.6937136503769453,1747.3002319999998,Large Size,Infrequent,Neutral,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,126834.692494,2757.275923782609,0.43521031881508754,363.76030539724894,7067,46,3917.149998278267,1160.28487144,153.6304347826087,0.7038984784840586,125674.40762256,Small Size,Frequent,Neutral,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,54802.881666,1889.7545402068965,0.45855284982995115,2626.6508300522983,825,29,3686.006268539461,818.160654,28.448275862068964,0.5126834851952593,53984.721012,Large Size,Frequent,Neutral,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,31645.109668999998,1172.0410988518518,0.17770843696769625,1962.4099706872878,268,27,4997.340815277726,65.53793552,9.925925925925926,0.23453295305945254,31579.57173348,Small Size,Infrequent,Consistent Losers,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,36639.643711,2289.9777319375,0.42539943609022557,8136.782530737903,151,16,4091.3814873529836,151.57141066,9.4375,0.5597077024021281,36488.07230034,Large Size,Infrequent,Neutral,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,37510.589983,2083.9216657222223,0.4329545454545454,6458.392298803511,233,18,7000.422921470286,115.76706684,12.944444444444445,0.2976851097568034,37394.822916159996,Large Size,Infrequent,Neutral,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,16102.56859,2300.3669414285714,0.5071428571428571,6767.940938569367,132,7,4416.515561621447,133.305587,18.857142857142858,0.5208556178127697,15969.263003,Large Size,Infrequent,Neutral,1
0x430f09841d65beb3f27765503d0f850b8bce7713,306013.966479,15300.69832395,0.2,2433.491750832179,380,20,34894.735160899436,386.37316599999997,19.0,0.4384815718875104,305627.593313,Small Size,Infrequent,Consistent Losers,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,83682.27560000001,2699.4282451612908,0.3346231687641725,499.89509878285605,4497,31,4381.398430441083,709.99461999,145.06451612903226,0.6161111088198655,82972.28098001001,Small Size,Frequent,Consistent Losers,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,63660.701123,12732.1402246,0.3956711010838398,10685.2341946025,384,5,23057.99330078445,830.9057029999999,76.8,0.5521790234957823,62829.79542,Large Size,Frequent,Consistent Losers,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,93961.938601,429.0499479497717,0.27436440548434116,13529.378176393477,3905,219,8116.891697441756,17753.742377,17.831050228310502,0.052858897708952406,76208.196224,Large Size,Infrequent,Consistent Losers,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,0.0,0.0,0.0,3250.098318222478,223,4,0.0,12.38025211,55.75,0.0,-12.38025211,Large Size,Frequent,,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,101539.27403100001,14505.610575857145,1.0,526.4448680783573,250,7,14939.429226323122,36.926673,35.714285714285715,0.9709614976653482,101502.34735800001,Small Size,Frequent,Consistent Winners,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,327545.999992,163772.999996,0.5,16373.748868720566,202,2,231609.99774487203,329.484916,101.0,0.7071067811865446,327216.515076,Large Size,Frequent,Neutral,2
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,51737.579418,2069.50317672,0.12,5860.246518243203,489,25,8594.278776459398,118.948121,19.56,0.24080009859446708,51618.631297,Large Size,Infrequent,Consistent Losers,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,225368.578787,3087.24080530137,0.6802366462531019,3710.051376058248,4063,73,4416.2036142514535,698.36171968,55.657534246575345,0.6990712102444484,224670.21706732002,Large Size,Frequent,Consistent Winners,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,853.1997160000001,213.29992900000002,0.33333333333333337,6158.514583333334,21,4,417.1768550513607,4.96796883,5.25,0.5112937748505447,848.2317471700001,Large Size,Infrequent,Consistent Losers,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,3083.835164,440.5478805714286,0.5960591133004927,2316.091148838846,58,7,431.65103300899585,4.5677549200000005,8.285714285714286,1.0206112041465374,3079.26740908,Small Size,Infrequent,Neutral,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,11.717676000000012,0.7323547500000007,0.0125,1009.5352916666667,56,16,10.204159386691604,4.42085377,3.5,0.07177021861138086,7.296822230000012,Small Size,Infrequent,Consistent Losers,0
0x8477e447846c758f5a675856001ea72298fd9cb5,30853.220585,460.49582962686566,0.35614617535086346,1097.5013395003452,5614,67,3984.5550136206853,1714.08794307,83.7910447761194,0.11557020245738978,29139.13264193,Small Size,Frequent,Consistent Losers,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,8695.357326,1449.226221,0.2333333333333333,3064.109766238274,724,6,3522.5078449762386,157.16795172000002,120.66666666666667,0.4114188767716894,8538.189374279998,Large Size,Frequent,Consistent Losers,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,49180.714882,4098.392906833334,0.37572365121307544,1694.7886148487235,4212,12,3189.1396250447524,482.609914,351.0,1.28510927356294,48698.104968,Small Size,Frequent,Consistent Losers,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,53394.741794999994,2053.6439151923073,0.354815712041769,2597.746957791971,322,26,8637.294746727614,167.44485951000001,12.384615384615385,0.23776471400030982,53227.29693549,Small Size,Infrequent,Consistent Losers,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,20925.513222,6975.171074000001,0.2413793103448276,1892.6225841170326,190,3,12081.350691652775,201.36228461,63.333333333333336,0.5773502691895779,20724.15093739,Small Size,Frequent,Consistent Losers,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,58.44524,11.689048,0.6,2236.6646666666666,10,5,16.901852355482223,3.9965930000000003,2.0,0.691583842614564,54.448647,Small Size,Infrequent,Neutral,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1497475.474659,8094.462025183784,0.27662867380523626,5459.684424937679,7116,185,44898.60413653572,11179.67952311,38.464864864864865,0.1802831553642183,1486295.7951358901,Large Size,Frequent,Consistent Losers,0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,-0.06076,-0.06076,0.0,86.5075,4,1,,0.116262,4.0,,-0.177022,Small Size,Infrequent,,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,11671.68,972.64,0.05176767676767677,2499.7098320004748,316,12,3409.831897578744,111.526288,26.333333333333332,0.2852457332839099,11560.153712000001,Small Size,Infrequent,Consistent Losers,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,680731.713815,34036.58569075,0.4349724731523358,3115.718037912167,10337,20,58692.305309187315,2900.56250703,516.85,0.5799156381990256,677831.15130797,Large Size,Frequent,Neutral,1
