sentiment,avg_pnl,median_pnl,avg_wr,avg_dd,n_obs
Fear,3140.3452202405497,114.22955400000001,0.3247125338686266,386.772015128866,582
Greed,5381.251182888217,233.36546,0.35996558963319053,1281.9192522175226,331
